hour,HEALTH,HOME,LEISURE,OTHER,PURCHASE,STUDY,WORK
0,0.0,0.8840579710144928,0.014492753623188406,0.08695652173913043,0.0,0.0,0.014492753623188406
1,0.0,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.0,0.0
2,0.0,0.9166666666666666,0.0,0.08333333333333333,0.0,0.0,0.0
3,0.0,0.6,0.0,0.0,0.0,0.0,0.4
4,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.9166666666666666
5,0.0,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.8695652173913043
6,0.0,0.0125,0.075,0.1,0.025,0.0,0.7875
7,0.014184397163120567,0.09574468085106383,0.0,0.1595744680851064,0.014184397163120567,0.06028368794326241,0.6560283687943262
8,0.014773776546629732,0.10341643582640812,0.032317636195752536,0.1615881809787627,0.04247460757156048,0.061865189289012,0.5835641735918744
9,0.037075180226570546,0.10401647785787847,0.0607621009268795,0.11431513903192585,0.08341915550978372,0.024716786817713696,0.5756951596292482
10,0.06539074960127592,0.19138755980861244,0.11483253588516747,0.12759170653907495,0.25199362041467305,0.03189792663476874,0.21690590111642744
11,0.04200542005420054,0.2588075880758808,0.1043360433604336,0.18834688346883469,0.24796747967479674,0.01084010840108401,0.14769647696476965
12,0.02075812274368231,0.2915162454873646,0.09927797833935018,0.21209386281588447,0.22563176895306858,0.01263537906137184,0.13808664259927797
13,0.01842374616171955,0.23439099283520984,0.09007164790174002,0.14841351074718526,0.15455475946775846,0.03172978505629478,0.3224155578300921
14,0.035346097201767304,0.21796759941089838,0.12076583210603829,0.2106038291605302,0.1796759941089838,0.017673048600883652,0.21796759941089838
15,0.03636363636363636,0.2991735537190083,0.14380165289256197,0.19008264462809918,0.20991735537190082,0.013223140495867768,0.10743801652892562
16,0.027227722772277228,0.3688118811881188,0.10396039603960396,0.21782178217821782,0.20297029702970298,0.011138613861386138,0.06806930693069307
17,0.033582089552238806,0.44869402985074625,0.09421641791044776,0.1884328358208955,0.18563432835820895,0.008395522388059701,0.041044776119402986
18,0.014754098360655738,0.5204918032786885,0.11885245901639344,0.16393442622950818,0.15655737704918032,0.004098360655737705,0.021311475409836064
19,0.005411255411255411,0.5205627705627706,0.19264069264069264,0.13852813852813853,0.11688311688311688,0.0010822510822510823,0.024891774891774892
20,0.007889546351084813,0.5502958579881657,0.22485207100591717,0.13214990138067062,0.05917159763313609,0.0039447731755424065,0.021696252465483234
21,0.0038461538461538464,0.6346153846153846,0.13846153846153847,0.1423076923076923,0.046153846153846156,0.015384615384615385,0.019230769230769232
22,0.0,0.8,0.03255813953488372,0.12093023255813953,0.009302325581395349,0.023255813953488372,0.013953488372093023
23,0.0,0.8257575757575758,0.045454545454545456,0.10606060606060606,0.015151515151515152,0.007575757575757576,0.0
