,GT,Rule-based,GBDT,Hybrid
H-W-H,0.10949105914718019,0.03768913342503439,0.10674002751031637,0.14910591471801926
H,0.07840440165061899,0.05639614855570839,0.09903713892709766,0.08665749656121045
W-H,0.060247592847317746,0.028335625859697386,0.05667125171939477,0.06519944979367263
H-P-H,0.0343878954607978,0.022283356258596974,0.03493810178817056,0.04264099037138927
H-L-H,0.03356258596973865,0.021182943603851444,0.03493810178817056,0.03741403026134801
H-W,0.028335625859697386,0.010729023383768913,0.02420907840440165,0.032462173314993126
H-O-H,0.02778541953232462,0.017606602475928473,0.007427785419532325,0.01843191196698762
H-L,0.023933975240715267,0.034112792297111415,0.03356258596973865,0.0327372764786795
H-O,0.021182943603851444,0.014030261348005502,0.006327372764786795,0.009903713892709767
H-P,0.016231086657496563,0.024484181568088032,0.018982118294360386,0.02090784044016506
H-W-P-H,0.01485557083906465,0.006327372764786795,0.011279229711141679,0.020082530949105913
H-S-H,0.013480055020632738,0.0038514442916093533,0.02530949105914718,0.007702888583218707
H-W-L-H,0.012929848693259973,0.010729023383768913,0.016506189821182942,0.022558459422283357
H-W-O-H,0.012379642365887207,0.0024759284731774417,0.003026134800550206,0.00797799174690509
W,0.011554332874828061,0.011554332874828061,0.009353507565337002,0.010178817056396148
H-W-H-L-H,0.010729023383768913,0.0038514442916093533,0.011279229711141679,0.01733149931224209
O-H,0.009628610729023384,0.015130674002751032,0.001375515818431912,0.0019257221458046766
L,0.009078404401650619,0.037138927097661624,0.009903713892709767,0.009903713892709767
H-He-H,0.008528198074277854,0.0002751031636863824,0.02778541953232462,0.014305364511691884
L-H,0.00797799174690509,0.025859697386519945,0.008528198074277854,0.008803301237964236
S-H,0.005502063273727648,0.001375515818431912,0.010729023383768913,0.011554332874828061
H-P-L,0.0019257221458046766,0.01595598349381018,0.005502063273727648,0.004401650618982118
L-W-H,0.001375515818431912,0.013204951856946355,0.0011004126547455295,0.0002751031636863824
L-W-L,0.0005502063273727648,0.013480055020632738,0.0005502063273727648,0.0002751031636863824
