,GT,Rule-based,HMM,Hybrid
H-W-H,0.09700467161308052,0.03407529541082715,0.15828524319868095,0.1272327562517175
H,0.056608958505083816,0.046166529266281946,0.0741962077493817,0.06485298158834844
W-H,0.054135751580104426,0.025831272327562518,0.05990656773838967,0.05880736466062105
H-P-H,0.0343500961802693,0.02115965924704589,0.04451772464962902,0.04561692772739764
H-L-H,0.031327287716405604,0.02115965924704589,0.051662544655125035,0.03297609233305853
H-W,0.025556471558120363,0.00989282769991756,0.037372904644133,0.030502885408079144
H-O-H,0.02418246771090959,0.015938444627644956,0.007144820005496016,0.018961253091508656
H-L,0.02225886232481451,0.03242649079417422,0.03187688925528991,0.029403682330310526
H-O,0.020610057708161583,0.01236603462489695,0.0032976092333058533,0.010717230008244023
H-P,0.018961253091508656,0.02418246771090959,0.02280846386369882,0.023632866172025282
H-W-P-H,0.01731244847485573,0.005770816158285243,0.049738939269029954,0.026380873866446827
H-S-H,0.01236603462489695,0.0032976092333058533,0.004671613080516625,0.007144820005496016
H-W-O-H,0.011816433086012641,0.0019236053860950811,0.0021984061555372354,0.009618026930475405
W,0.010992030777686177,0.011541632316570486,0.00741962077493817,0.009618026930475405
H-W-L-H,0.010992030777686177,0.00989282769991756,0.02115965924704589,0.017862050013740038
O,0.010167628469359714,0.009618026930475405,0.0,0.004671613080516625
H-W-H-L-H,0.010167628469359714,0.0038472107721901623,0.03489969771915361,0.015938444627644956
H-P-H-L-H,0.009618026930475405,0.0032976092333058533,0.014014839241549877,0.008244023083264633
L,0.00934322616103325,0.03352569387194284,0.007694421544380325,0.00989282769991756
H-W-P-W-H,0.007969222313822478,0.00247320692497939,0.01731244847485573,0.010717230008244023
H-He-H,0.006595218466611707,0.0002748007694421544,0.008793624622148942,0.011266831547128332
H-P-H-P-H,0.005496015388843089,0.0008244023083264633,0.007144820005496016,0.00989282769991756
S-H,0.00494641384995878,0.0008244023083264633,0.009618026930475405,0.010717230008244023
