,GT,Pred
H-W-H,0.09700467161308052,0.1272327562517175
H,0.056608958505083816,0.06485298158834844
W-H,0.054135751580104426,0.05880736466062105
H-P-H,0.0343500961802693,0.04561692772739764
H-L-H,0.031327287716405604,0.03297609233305853
H-W,0.025556471558120363,0.030502885408079144
H-O-H,0.02418246771090959,0.018961253091508656
H-L,0.02225886232481451,0.029403682330310526
H-O,0.020610057708161583,0.010717230008244023
H-P,0.018961253091508656,0.023632866172025282
H-W-P-H,0.01731244847485573,0.026380873866446827
H-S-H,0.01236603462489695,0.007144820005496016
H-W-O-H,0.011816433086012641,0.009618026930475405
H-W-L-H,0.010992030777686177,0.017862050013740038
W,0.010992030777686177,0.009618026930475405
H-W-H-L-H,0.010167628469359714,0.015938444627644956
H-He-H,0.006595218466611707,0.011266831547128332
S-H,0.00494641384995878,0.010717230008244023
