,GBDT,HMM,Hybrid
H,0.09702380952380953,0.25684523809523807,0.2599702380952381
H-W-H,0.010416666666666666,0.11547619047619048,0.11607142857142858
H-He-H,0.02261904761904762,0.09122023809523809,0.09032738095238095
H-P-H,0.018154761904761906,0.07648809523809524,0.07797619047619048
H-L-H,0.00744047619047619,0.03139880952380952,0.030952380952380953
W-H,0.012797619047619047,0.026488095238095238,0.026041666666666668
H-W-P-H,0.001488095238095238,0.020386904761904762,0.020089285714285716
H-He-H-He-H,0.002380952380952381,0.016517857142857143,0.016666666666666666
H-W-He-H,0.000744047619047619,0.016220238095238097,0.015773809523809523
H-S-H,0.003125,0.015178571428571428,0.015625
H-O-H,0.00818452380952381,0.013988095238095239,0.013244047619047619
He-H,0.017857142857142856,0.012202380952380952,0.012053571428571429
H-W-H-He-H,0.000744047619047619,0.011458333333333333,0.01130952380952381
H-He-P-H,0.0017857142857142857,0.009077380952380953,0.009523809523809525
P-H,0.024851190476190475,0.008035714285714285,0.007886904761904762
