,Rule-based,GBDT,HMM,Hybrid,Hybrid(OD-normalized)
H,0.31360273192942517,0.11667615253272624,0.2948207171314741,0.30051223676721683,0.29311326124075127
H-W-H,0.11269208878770631,0.01195219123505976,0.10927717700626068,0.11269208878770631,0.08708025042686397
H-He-H,0.00910643141718839,0.015367103016505406,0.07683551508252703,0.07398975526465566,0.07057484348321001
H-P-H,0.06374501992031872,0.010813887307911212,0.06772908366533864,0.07057484348321001,0.06772908366533864
W-H,0.03870233352305066,0.014797951052931132,0.040978941377347755,0.03870233352305066,0.032441661923733635
H-L-H,0.07000569151963575,0.003414911781445646,0.0199203187250996,0.01935116676152533,0.018782014797951052
H-W-He-H,0.0005691519635742744,0.001707455890722823,0.01821286283437678,0.01821286283437678,0.014797951052931132
H-W-P-H,0.014228799089356859,0.0011383039271485487,0.018782014797951052,0.01707455890722823,0.013659647125782584
He-H,0.0022766078542970974,0.018782014797951052,0.016505406943653957,0.01593625498007968,0.015367103016505406
H-O-H,0.0,0.00910643141718839,0.01593625498007968,0.015367103016505406,0.02504268639726807
H-S-H,0.016505406943653957,0.001707455890722823,0.013659647125782584,0.014228799089356859,0.014228799089356859
H-W-H-He-H,0.0,0.0,0.014228799089356859,0.013659647125782584,0.010244735344336939
H-He-H-He-H,0.0,0.0011383039271485487,0.012521343198634035,0.012521343198634035,0.012521343198634035
P-H,0.011383039271485486,0.02390438247011952,0.00910643141718839,0.00910643141718839,0.00910643141718839
S-H,0.0011383039271485487,0.004553215708594195,0.006829823562891292,0.00796812749003984,0.00796812749003984
